You have loaded an FP4 model on CPU and have a CUDA/XPU device available, make sure to set your model on a GPU/XPU device in order to run your model. To remove this warning, pass device_map = 'cuda' or device_map = 'xpu'. 
Fetching 41 files:   0%|          | 0/41 [00:00<?, ?it/s]Fetching 41 files: 100%|██████████| 41/41 [00:00<00:00, 13849.28it/s]
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]
Fetching 41 files:   0%|          | 0/41 [00:00<?, ?it/s][AFetching 41 files: 100%|██████████| 41/41 [00:00<00:00, 19508.39it/s]
Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:01,  1.29it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:01<00:00,  1.62it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.33it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.01it/s]
2026-07-01 19:15:56,383 sample_targets sampled 720 / 10000
2026-07-01 19:15:59,416 sample_targets sampled 728 / 10000
2026-07-01 19:16:02,373 sample_targets sampled 736 / 10000
2026-07-01 19:16:05,312 sample_targets sampled 744 / 10000
2026-07-01 19:16:08,252 sample_targets sampled 752 / 10000
2026-07-01 19:16:11,188 sample_targets sampled 760 / 10000
2026-07-01 19:16:14,127 sample_targets sampled 768 / 10000
2026-07-01 19:16:17,212 sample_targets sampled 776 / 10000
2026-07-01 19:16:20,132 sample_targets sampled 784 / 10000
2026-07-01 19:16:23,063 sample_targets sampled 792 / 10000
2026-07-01 19:16:26,005 sample_targets sampled 800 / 10000
2026-07-01 19:16:28,952 sample_targets sampled 808 / 10000
2026-07-01 19:16:31,910 sample_targets sampled 816 / 10000
2026-07-01 19:16:34,907 sample_targets sampled 824 / 10000
2026-07-01 19:16:37,858 sample_targets sampled 832 / 10000
2026-07-01 19:16:40,791 sample_targets sampled 840 / 10000
2026-07-01 19:16:43,724 sample_targets sampled 848 / 10000
2026-07-01 19:16:46,662 sample_targets sampled 856 / 10000
2026-07-01 19:16:49,591 sample_targets sampled 864 / 10000
2026-07-01 19:16:52,522 sample_targets sampled 872 / 10000
2026-07-01 19:16:55,459 sample_targets sampled 880 / 10000
2026-07-01 19:16:58,385 sample_targets sampled 888 / 10000
2026-07-01 19:17:01,312 sample_targets sampled 896 / 10000
2026-07-01 19:17:04,378 sample_targets sampled 904 / 10000
2026-07-01 19:17:07,289 sample_targets sampled 912 / 10000
2026-07-01 19:17:10,205 sample_targets sampled 920 / 10000
2026-07-01 19:17:13,136 sample_targets sampled 928 / 10000
2026-07-01 19:17:16,071 sample_targets sampled 936 / 10000
2026-07-01 19:17:19,028 sample_targets sampled 944 / 10000
2026-07-01 19:17:21,986 sample_targets sampled 952 / 10000
2026-07-01 19:17:24,932 sample_targets sampled 960 / 10000
2026-07-01 19:17:27,861 sample_targets sampled 968 / 10000
2026-07-01 19:17:30,796 sample_targets sampled 976 / 10000
2026-07-01 19:17:33,730 sample_targets sampled 984 / 10000
2026-07-01 19:17:36,662 sample_targets sampled 992 / 10000
2026-07-01 19:17:39,594 sample_targets sampled 1000 / 10000
2026-07-01 19:17:42,522 sample_targets sampled 1008 / 10000
2026-07-01 19:17:45,459 sample_targets sampled 1016 / 10000
2026-07-01 19:17:48,400 sample_targets sampled 1024 / 10000
2026-07-01 19:17:51,477 sample_targets sampled 1032 / 10000
2026-07-01 19:17:54,401 sample_targets sampled 1040 / 10000
2026-07-01 19:17:57,324 sample_targets sampled 1048 / 10000
2026-07-01 19:18:00,249 sample_targets sampled 1056 / 10000
2026-07-01 19:18:03,177 sample_targets sampled 1064 / 10000
2026-07-01 19:18:06,109 sample_targets sampled 1072 / 10000
2026-07-01 19:18:09,049 sample_targets sampled 1080 / 10000
2026-07-01 19:18:11,982 sample_targets sampled 1088 / 10000
2026-07-01 19:18:14,907 sample_targets sampled 1096 / 10000
2026-07-01 19:18:17,838 sample_targets sampled 1104 / 10000
2026-07-01 19:18:20,766 sample_targets sampled 1112 / 10000
2026-07-01 19:18:23,705 sample_targets sampled 1120 / 10000
2026-07-01 19:18:26,636 sample_targets sampled 1128 / 10000
2026-07-01 19:18:29,571 sample_targets sampled 1136 / 10000
2026-07-01 19:18:32,504 sample_targets sampled 1144 / 10000
2026-07-01 19:18:35,435 sample_targets sampled 1152 / 10000
2026-07-01 19:18:38,519 sample_targets sampled 1160 / 10000
2026-07-01 19:18:41,441 sample_targets sampled 1168 / 10000
2026-07-01 19:18:44,368 sample_targets sampled 1176 / 10000
2026-07-01 19:18:47,298 sample_targets sampled 1184 / 10000
2026-07-01 19:18:50,229 sample_targets sampled 1192 / 10000
2026-07-01 19:18:53,163 sample_targets sampled 1200 / 10000
2026-07-01 19:18:56,100 sample_targets sampled 1208 / 10000
2026-07-01 19:18:59,039 sample_targets sampled 1216 / 10000
2026-07-01 19:19:01,979 sample_targets sampled 1224 / 10000
2026-07-01 19:19:04,916 sample_targets sampled 1232 / 10000
2026-07-01 19:19:07,851 sample_targets sampled 1240 / 10000
2026-07-01 19:19:10,790 sample_targets sampled 1248 / 10000
2026-07-01 19:19:13,726 sample_targets sampled 1256 / 10000
2026-07-01 19:19:16,659 sample_targets sampled 1264 / 10000
2026-07-01 19:19:19,610 sample_targets sampled 1272 / 10000
2026-07-01 19:19:22,560 sample_targets sampled 1280 / 10000
